"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","cyclic-nucleotide phosphodiesterase activity","GO:0004112","0.00047983051691379686","3.3189121346387047","29","945","10","18694","chr7:32316456:32317199,ENSG00000128655,ENSG00000284741,chr15:85010282:85011010,chr2:231764511:231765287,ENSG00000138735,chr1:66354220:66354721,chr12:20415093:20415576,ENSG00000171408,chr5:59845618:59846034"
"GO:MF","voltage-gated ion channel activity","GO:0005244","0.0005530942731970324","3.257200838243551","200","945","28","18694","chr4:21544348:21544872,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:72894062:72894507,chr7:82244860:82245483,chrX:10215425:10216083,chr2:42443761:42444825,chr8:132167456:132168090,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,ENSG00000143473,ENSG00000284299,chr12:110658502:110659476,ENSG00000157445,chr21:38280740:38281280,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377"
"GO:MF","voltage-gated channel activity","GO:0022832","0.0006122890213732001","3.213043527596414","201","945","28","18694","chr4:21544348:21544872,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:72894062:72894507,chr7:82244860:82245483,chrX:10215425:10216083,chr2:42443761:42444825,chr8:132167456:132168090,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,ENSG00000143473,ENSG00000284299,chr12:110658502:110659476,ENSG00000157445,chr21:38280740:38281280,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377"
"GO:MF","ionotropic glutamate receptor activity","GO:0004970","0.0010556394000116125","2.976484408819265","19","945","8","18694","ENSG00000182771,chr6:101777620:101778156,chrX:123272347:123273315,chr21:29874954:29875739,chr5:153753456:153754113,chr9:101668391:101668923,chr4:92307897:92308228,chr11:120854992:120855588"
"GO:MF","voltage-gated cation channel activity","GO:0022843","0.0018511683436124846","2.732554085094987","144","945","22","18694","ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:72894062:72894507,chr7:82244860:82245483,chr2:42443761:42444825,chr8:132167456:132168090,chr2:152042771:152043489,chr8:139702630:139703471,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,ENSG00000143473,ENSG00000284299,chr12:110658502:110659476,ENSG00000157445,chr21:38280740:38281280,chr10:18483404:18484110,chr10:77208736:77209284"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.0034335416291467334","2.464257682739235","441","945","45","18694","chr4:21544348:21544872,chr2:102514138:102514416,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:101777620:101778156,chr6:72894062:72894507,chrX:111847807:111848326,chr21:29874954:29875739,chr7:82244860:82245483,ENSG00000108684,chr14:73169821:73170386,chr14:70152616:70153081,ENSG00000183023,chr2:42443761:42444825,chr8:132167456:132168090,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,ENSG00000188687,ENSG00000105143,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,chr9:74727781:74728966,chr1:237373723:237374279,chr13:107396110:107396863,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,ENSG00000143473,ENSG00000284299,chr20:4894286:4894727,ENSG00000157445,chr1:110150302:110151689,chr21:38280740:38281280,chr3:10857205:10858582,ENSG00000144290,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377,chr11:120854992:120855588,chr6:33647466:33647916"
"GO:MF","actin binding","GO:0003779","0.009559476946470859","2.019565869802971","445","945","44","18694","chr22:29663125:29663923,chr11:17514400:17514812,ENSG00000141298,ENSG00000183230,chr1:39437781:39438624,chrX:48680490:48680873,chr13:59767674:59768541,chrX:50606205:50606847,chr4:7779010:7779649,ENSG00000147202,chrX:111847807:111848326,chr2:79729253:79730321,chr8:50733391:50733761,chr13:109160502:109161257,chr10:117057112:117057719,chr1:156556383:156556932,chr6:144729379:144730084,chr7:134808245:134808983,chrX:32642071:32642639,ENSG00000151491,chr11:22722977:22723790,chr8:130883014:130883852,chr1:225543892:225544764,chr4:168555219:168556129,chr10:114513277:114513808,ENSG00000155657,chr3:108474583:108475226,chr2:170215139:170215346,chr22:40465103:40465782,chr6:56646201:56646472,chr2:45895312:45895792,chr6:162223178:162223549,chr9:130756517:130757128,chr22:25853613:25854477,chr2:1347467:1348544,chr12:49683652:49684419,chr10:18483404:18484110,chr6:143634459:143634863,chr10:77208736:77209284,ENSG00000106078,chr22:17878673:17879662,ENSG00000101605,chr1:16866839:16867609,chr4:119136127:119136960"
"GO:MF","protein domain specific binding","GO:0019904","0.014912356699115302","1.8264537166716435","718","945","62","18694","chr3:79661604:79662316,chr15:57281135:57281760,chr7:8206790:8207445,chr11:105372243:105372718,chrX:19720115:19720689,chr2:36385672:36386296,chrX:48680490:48680873,chr16:24348953:24349730,chrX:11478774:11479387,chr6:101777620:101778156,chr5:157557913:157558362,chr4:7779010:7779649,chr5:42576226:42576603,chr1:217053656:217054303,chr3:173930259:173930967,ENSG00000141293,chr14:73169821:73170386,ENSG00000121774,chr14:65560337:65561490,chr7:133373071:133374364,chr3:105715056:105715765,chr6:61841572:61842710,chr10:126208621:126209835,chr14:102105962:102106741,chr17:28130117:28130807,chr2:221476354:221477315,chr11:75942636:75943003,chr4:16740089:16741012,ENSG00000198900,chrX:32642071:32642639,chr1:66652576:66652987,chr20:47326670:47326999,chr8:28539058:28539366,chr1:225543892:225544764,chr5:153753456:153754113,chr1:214008794:214010316,chr6:121443899:121444689,chr7:37061908:37063065,chr8:39004186:39005295,chr9:123497584:123498389,chr6:158042094:158043056,chr22:40465103:40465782,chr8:115541786:115542541,chr19:8462596:8462985,ENSG00000169282,chr8:13528885:13529699,chr6:162223178:162223549,chr4:92307897:92308228,chr3:50873310:50874176,chr9:130756517:130757128,chr2:1347467:1348544,chr5:158914013:158915238,chr10:127292241:127293108,chr3:136925853:136926158,chr12:11716793:11717725,chr7:112101097:112101713,chr21:25885269:25885726,chr3:42184117:42184905,chr9:75110242:75110695,ENSG00000275700,chr4:4461253:4462202,chr2:169285122:169286420"
"GO:MF","extracellular matrix structural constituent","GO:0005201","0.02455868751864365","1.6097948467589496","169","945","22","18694","chr1:235997896:235998485,chr6:69876793:69877528,chrX:8591416:8591863,chr6:129235065:129235953,chr4:108945977:108946457,chr14:91897085:91897897,chr8:120266159:120266894,chr11:121121638:121122010,chr8:97950594:97952752,chr3:102269280:102270107,chr15:71611237:71612838,chr4:78131254:78132160,chr2:189113878:189114469,chr2:33214916:33215656,chr1:168709141:168710357,chr2:55875674:55876966,chr3:100797943:100798447,chr1:186098612:186099479,chr3:99647117:99647557,chr4:105998086:105999075,chr6:70270155:70270975,ENSG00000038427"
"GO:MF","potassium channel activity","GO:0005267","0.03161893293636159","1.5000527905603427","125","945","18","18694","chr4:21544348:21544872,ENSG00000183960,chr6:101777620:101778156,chr6:72894062:72894507,chr21:29874954:29875739,chr2:42443761:42444825,chr8:132167456:132168090,chr8:139702630:139703471,chr1:110265181:110265865,chr2:18316421:18316712,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,ENSG00000143473,ENSG00000284299,chr21:38280740:38281280,chr10:77208736:77209284,chr11:120854992:120855588"
"GO:MF","chemorepellent activity","GO:0045499","0.03815374789039953","1.4184627943232093","29","945","8","18694","chr10:82628322:82629022,ENSG00000137872,chr5:9467646:9468622,chr7:84411973:84412872,chr7:83438858:83439596,chr5:107635365:107635880,chr7:85067234:85067756,ENSG00000157168"
"GO:MF","channel regulator activity","GO:0016247","0.04621841523634411","1.3351849499410802","152","945","20","18694","chr4:21544348:21544872,chr14:78664656:78665357,chr2:50661412:50662319,chr16:24348953:24349730,chr19:54002931:54003525,ENSG00000166501,chr17:9405840:9406707,chr13:101985137:101985699,chr6:132445963:132447013,chr2:115071156:115071582,chr3:192416725:192417539,chr2:18316421:18316712,chr1:224666612:224667324,chr5:170494052:170494470,chr7:24290814:24291836,ENSG00000169282,chr14:22886598:22887637,ENSG00000221946,chr7:86818781:86819525,chr7:154172068:154172707"
"GO:BP","nervous system development","GO:0007399","6.285163036770058e-20","19.20168345225786","2506","910","236","18092","ENSG00000164161,chr3:62110449:62111217,chr5:167422540:167423075,chr3:79661604:79662316,chr9:125700848:125701862,chr18:42743003:42743503,chr15:57281135:57281760,chr3:68456724:68457335,chr2:66445901:66446949,chr14:78664656:78665357,chr1:92087511:92088079,chr2:50661412:50662319,chrX:19720115:19720689,chr18:52801703:52802458,chr6:155015928:155016511,ENSG00000155974,ENSG00000182667,chr22:29663125:29663923,chr11:17514400:17514812,ENSG00000007047,chr10:33261462:33261902,chr10:60308856:60309702,chr2:36385672:36386296,ENSG00000198739,chr1:39437781:39438624,chr8:71535644:71536218,chr13:32233019:32233692,chr17:51674475:51675345,chr15:64507068:64507868,chr2:211994716:211995229,chrX:50606205:50606847,chr5:123147268:123147993,chr4:80307032:80308069,chr2:63439551:63440056,chr10:54378987:54379896,chr6:145505930:145506235,chr5:137190016:137190718,chr9:36938482:36939133,chrX:8591416:8591863,chr3:133370435:133370930,ENSG00000170921,chr9:8417229:8417831,chr6:129235065:129235953,chr4:61275939:61276437,ENSG00000207598,chr4:108945977:108946457,chr11:40425319:40426040,chr6:157185901:157186529,chr10:116190727:116191673,chr8:98408393:98409127,chrX:111847807:111848326,chr3:173930259:173930967,chr2:79729253:79730321,chr10:119670359:119671072,chr10:82628322:82629022,chr21:29874954:29875739,ENSG00000137872,chr4:65596754:65597617,chr11:76911063:76911841,chr13:94280306:94280817,chr7:147796638:147796953,chr9:117268926:117269604,chr1:164644726:164645775,ENSG00000108684,chr14:73169821:73170386,chr2:29789865:29790496,chr6:106039568:106040560,chr3:24449127:24449814,chr14:70152616:70153081,chr14:71711514:71712432,ENSG00000183023,chr16:73670761:73672001,chr16:71172474:71173411,chr13:48266760:48267640,chr18:8007882:8008367,chr3:76138899:76139532,chr17:66734200:66734607,chr14:47541339:47542275,chr13:109160502:109161257,chr10:117057112:117057719,chr2:225652002:225652224,chrX:148976835:148977661,chr7:110856722:110857428,chr1:190391565:190392123,chr8:97950594:97952752,chrX:110748168:110748678,chr5:9467646:9468622,chr2:49043359:49044072,chr5:169252917:169253807,chr14:102105962:102106741,chr13:101985137:101985699,chr6:15442481:15442901,chr4:95232588:95233429,chrX:29639804:29640549,chr22:35863314:35863926,chr2:221476354:221477315,chr7:102146028:102146517,chr3:186226392:186227232,chr11:117613436:117614132,chr3:147449247:147450098,chr1:208062786:208063559,chr7:84411973:84412872,chr4:16740089:16741012,chr1:45158429:45159113,chrX:32642071:32642639,chr14:99918807:99919473,chr8:11515979:11516352,chr4:78601014:78601472,ENSG00000172264,chr20:47326670:47326999,chr15:36911351:36912105,chr20:63006177:63007235,chr5:80234008:80234603,chr8:130268796:130269624,chr11:121578336:121578960,chr8:28539058:28539366,chr22:29152001:29153457,chr1:225543892:225544764,chr8:59054981:59055652,chr2:184673174:184673678,chr4:150235597:150236635,chr4:168555219:168556129,ENSG00000149571,chr4:5874786:5875621,chr7:83438858:83439596,chr19:38882735:38883072,chr1:214008794:214010316,chr20:46267747:46268734,chr9:85639716:85640065,chr2:26929604:26930327,chr6:121443899:121444689,chr5:107635365:107635880,chr3:192416725:192417539,chr20:59322584:59323422,chr7:85067234:85067756,chr2:171814811:171815268,chr10:97083263:97083916,chr6:24145627:24146113,ENSG00000067715,chr7:114431048:114431687,chr16:49849444:49850288,chr1:243285671:243286635,ENSG00000197971,chr13:57641561:57642045,chr11:2268906:2271262,chr17:79183123:79184216,chr9:101229716:101230611,chr3:135033401:135034935,chr4:20608265:20609110,chr3:15645917:15647196,chr6:158042094:158043056,chr10:34216070:34216666,chr4:42906202:42906793,chr3:2822644:2823645,chr11:21537650:21538520,chr2:218873184:218874131,chr8:139965115:139966072,chr22:40465103:40465782,chr7:24290814:24291836,ENSG00000169282,chr9:101668391:101668923,ENSG00000166780,chr8:13528885:13529699,chr6:47258787:47259528,chr6:162223178:162223549,ENSG00000111913,chr9:28413436:28413858,chr11:19368984:19369363,ENSG00000172260,chr4:92307897:92308228,chr5:145915809:145916758,ENSG00000109819,ENSG00000133104,chr20:4894286:4894727,chr9:130756517:130757128,chr3:47076209:47077216,chr3:124324744:124325302,chr17:51086250:51086590,chr9:119221109:119221697,chr20:17321350:17322133,chr6:148954561:148955221,ENSG00000144771,ENSG00000161381,chr2:1347467:1348544,chr1:110150302:110151689,chr8:112263637:112264175,ENSG00000132911,chr14:59677853:59678540,chr6:107204903:107205983,chr6:7747887:7748645,chr7:103946611:103947071,chr3:10857205:10858582,chr3:140327077:140327825,chr8:118030106:118030518,chr4:101066693:101067457,chr6:29663596:29664128,chr3:94009544:94009976,chr22:21825655:21826129,ENSG00000144290,chr3:136925853:136926158,chr2:36711771:36712403,chr16:53619271:53619572,chr21:17987082:17988013,ENSG00000053108,chr2:165886360:165887209,chr12:11716793:11717725,chr13:98542876:98543621,chr1:177072326:177072870,chr7:16295405:16296069,chrX:5998866:5999347,chr6:50829183:50829583,chr21:25885269:25885726,chr1:18263466:18264358,chr3:42184117:42184905,chr13:111212101:111212641,ENSG00000106078,chr9:131030699:131031624,chr8:35278670:35279310,chr16:55329820:55330281,chr12:111151017:111151957,chr2:199303656:199304229,chr11:47516307:47516801,ENSG00000162946,chr4:182752048:182752954,chr14:88853867:88854593,chr2:2061118:2062136,chr7:132166613:132167057,chr20:54477069:54477892,chr3:185802402:185802763,ENSG00000038427,ENSG00000157168,chr7:98120635:98121179,chr2:169285122:169286420,chr8:17935216:17935560,chr3:185318159:185318509,chr7:5529331:5531231"
